네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
식품 > 아이스크림/빙수
조회기간 : 2019.01.01. ~ 2019.12.31. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아이스크림/빙수"
"2019-11-05",30
"2019-11-06",32
"2019-11-07",27
"2019-11-08",22
"2019-11-09",22
"2019-11-10",29
"2019-11-11",27
"2019-11-12",28
"2019-11-13",29
"2019-11-14",24
"2019-11-15",21
"2019-11-16",21
"2019-11-17",29
"2019-11-18",29
"2019-11-19",29
"2019-11-20",30
"2019-11-21",27
"2019-11-22",26
"2019-11-23",25
"2019-11-24",32
"2019-11-25",30
"2019-11-26",31
"2019-11-27",30
"2019-11-28",28
"2019-11-29",24
"2019-11-30",24
"2019-12-01",31
"2019-12-02",33
"2019-12-03",30
"2019-12-04",28
"2019-12-05",26
"2019-12-06",24
"2019-12-07",25
"2019-12-08",39
"2019-12-09",33
"2019-12-10",30
"2019-12-11",30
"2019-12-12",30
"2019-12-13",28
"2019-12-14",30
"2019-12-15",35
"2019-12-16",35
"2019-12-17",35
"2019-12-18",33
"2019-12-19",31
"2019-12-20",25
"2019-12-21",25
"2019-12-22",31
"2019-12-23",29
"2019-12-24",22
"2019-12-25",24
"2019-12-26",26
"2019-12-27",24
"2019-12-28",25
"2019-12-29",29
"2019-12-30",28
"2019-12-31",22
