날짜,평균기온(℃),최저기온(℃),최고기온(℃),아이스크림/빙수
2019.6.19,22.2,18.3,27.5,68
2019.6.20,23.4,18.2,29.2,67
2019.6.21,22.8,18.5,28.7,63
2019.6.22,21.7,17.4,27.1,56
2019.6.23,21.6,16.4,27.3,66
2019.6.24,22.5,17.2,28.4,81
2019.6.25,23.6,17.1,30.4,79
2019.6.26,21.1,18,24.4,67
2019.6.27,23.8,20.6,28.8,64
2019.6.28,23.6,20.7,28.1,54
2019.6.29,21.6,19.9,24.1,52
2019.6.30,23.8,20.1,28.5,64
2019.7.1,23.2,19.9,26.9,70
2019.7.2,23.4,18.5,29.2,83
2019.7.3,23.1,18.4,28.5,75
2019.7.4,24.4,18.4,31.2,69
2019.7.5,25.1,19.1,32,61
2019.7.6,25.1,19,31.3,57
2019.7.7,23.5,19.8,28.2,68
2019.7.8,22.6,18.9,27.3,75
2019.7.9,22.6,18.4,27,68
2019.7.10,20.9,19.2,23.3,66
2019.7.11,22.2,19.7,25.6,63
2019.7.12,23.2,19.6,27.9,55
2019.7.13,23.3,20.1,27.8,53
2019.7.14,23.9,20.2,29.1,62
2019.7.15,23.2,20.6,27.1,69
2019.7.16,23.8,20.3,28.7,66
2019.7.17,24.4,20.7,28.8,65
2019.7.18,24.3,21.4,27.8,62
2019.7.19,25.2,22.1,28.5,61
2019.7.20,24.8,23.2,27.1,57
2019.7.21,24.8,22.6,27.8,61
2019.7.22,27,23.2,31.6,73
2019.7.23,27.9,24.2,32.8,77
2019.7.24,26.8,24.8,29.7,69
2019.7.25,26.6,24.8,29.2,74
2019.7.26,26.5,24.7,29.2,63
2019.7.27,27.1,24.6,30.5,52
2019.7.28,26.9,25,29.9,57
2019.7.29,27.8,24.3,32.1,65
2019.7.30,28.4,24.7,32.5,65
2019.7.31,28.4,25.2,32.2,61
2019.8.1,28.4,24.6,33.1,66
2019.8.2,28.8,24.3,34.2,56
2019.8.3,28.3,24.2,34.1,54
2019.8.4,28.4,23.9,34.2,64
2019.8.5,28.8,24.2,34.6,72
2019.8.6,27.6,23.8,32.1,75
2019.8.7,27.2,23.8,32.1,69
2019.8.8,27.6,24.2,33.2,69
2019.8.9,28.3,24.2,33.6,61
2019.8.10,28.6,24.5,33.4,49
2019.8.11,28.3,24.8,32.3,56
2019.8.12,27.7,25.3,31,62
2019.8.13,28.5,24.3,33.7,60
2019.8.14,28.6,24.7,33,53
2019.8.15,26.1,24.2,29.1,49
2019.8.16,26.4,23.3,30.7,53
2019.8.17,26.2,22,31,41
2019.8.18,25.3,21.1,30.8,50
2019.8.19,25.1,20,30.8,55
2019.8.20,26,21.7,30.9,53
2019.8.21,25.8,22.5,30.1,47
2019.8.22,25.8,23,30.3,47
2019.8.23,24.7,20.8,29.5,41
2019.8.24,22.8,18.9,27.6,37
2019.8.25,23.2,18.9,28.7,44
2019.8.26,24.3,19,30,45
2019.8.27,22.7,20.5,25.4,43
2019.8.28,23.8,21,27.7,47
2019.8.29,22.4,19.9,25.7,40
2019.8.30,22.9,18.6,28.1,34
2019.8.31,22.6,17.6,28.5,32
2019.9.1,22.1,18,26.8,41
2019.9.2,21.6,19.1,25.1,42
2019.9.3,22.1,20.1,24.8,39
2019.9.4,23.4,21.4,26.2,35
2019.9.5,24.2,21.8,29,36
2019.9.6,25.4,22.1,28.9,36
2019.9.7,25.8,22.6,29.1,33
2019.9.8,24.6,21.8,28.5,37
2019.9.9,24.7,22.4,28.3,35
2019.9.10,25.4,22.5,29.6,26
2019.9.11,23.9,21.5,27.8,22
2019.9.12,20.8,18.6,23.5,23
2019.9.13,21.7,17.1,27.4,28
2019.9.14,22.3,17.4,27.5,29
2019.9.15,23.4,19.7,28.8,38
2019.9.16,22.4,18.1,28.2,39
2019.9.17,21.3,15.5,27.8,38
2019.9.18,21,15.4,27.9,36
2019.9.19,19.2,13.5,25.6,32
2019.9.20,19.3,15,23.7,28
2019.9.21,17.8,16,20.7,29
2019.9.22,17.5,16.1,19.1,35
2019.9.23,18.1,14.4,22.5,33
2019.9.24,17.8,12.6,25,34
2019.9.25,18.4,12.6,24.8,32
2019.9.26,20.4,16,26.2,31
2019.9.27,21.4,16.8,26.9,27
2019.9.28,22.5,19.3,27.4,28
2019.9.29,22.2,18,28.5,35
2019.9.30,21.6,16.4,28.2,36
2019.10.1,21.5,18.4,24.9,34
2019.10.2,21.1,19.8,22.9,32
2019.10.3,22,18.7,26.3,35
2019.10.4,21.2,17.1,26.9,31
2019.10.5,18.9,15.5,22.6,27
2019.10.6,17.3,13.4,21.8,33
2019.10.7,15.5,13.8,17.7,32
2019.10.8,15.9,10.3,22,30
2019.10.9,13.3,6.8,21.2,32
2019.10.10,14.9,8.6,21.6,29
2019.10.11,17.9,11.9,24.8,28
2019.10.12,18,13.5,23.4,28
